id,name,address,lat,lng,disabled,diaper,hours,male_toilet,male_urinal,female_toilet,emergency_bell,cctv,data_date
pd-3743,동탄1동주민센터 3층,"경기도 화성시 동탄구 동탄반석로 195 (반송동, 동탄1동주민센터)",37.2064629,127.071922,true,true,11시간,1,3,2,false,false,2024-01-29
pd-3744,동탄1동주민센터 2층,"경기도 화성시 동탄구 동탄반석로 195 (반송동, 동탄1동주민센터)",37.2064629,127.071922,true,true,11시간,1,3,2,false,false,2024-01-29
pd-3745,화성우체국,"경기도 화성시 동탄구 노작로 240 (석우동, 화성우체국)",37.20772705,127.0780352,true,true,11시간,2,3,4,false,false,2024-01-29
pd-3746,인곡1저류지,경기도 화성시 동탄구 능동 1106,37.21408057,127.0540949,true,true,11시간,1,2,2,false,false,2024-01-29
pd-3747,동탄2 크린에너지센터 실내체육시설,경기도 화성시 동탄구 동탄대로9길 76 (송동),37.17534605,127.0974031,true,true,11시간,2,3,4,false,true,2024-01-29
pd-3748,동탄8동 행정복지센터 3층,경기도 화성시 동탄구 동탄대로 87(장지동),37.16230272,127.1051691,true,true,11시간,2,2,4,false,false,2024-01-29
pd-3749,동탄8동 행정복지센터 2층,경기도 화성시 동탄구 동탄대로 87(장지동),37.16230272,127.1051691,true,true,11시간,2,2,4,false,false,2024-01-29
pd-3750,동탄8동 행정복지센터 1층,경기도 화성시 동탄구 동탄대로 87(장지동),37.16230272,127.1051691,true,true,11시간,2,2,4,false,false,2024-01-29
pd-3751,동탄복합문화센터도서관 2층 종합자료실 복도,경기도 화성시 동탄구 노작로 134 (반송동),37.20068401,127.0750229,false,true,11시간,2,3,3,false,false,2024-01-29
pd-3752,노작공원(오산천변),경기도 화성시 동탄구 노작로 158,37.20278624,127.0742087,false,true,11시간,1,2,3,false,false,2024-01-29
pd-3753,동탄파출소,경기도 화성시 동탄구 노작로 226-1,37.20749698,127.0774183,false,true,11시간,1,2,1,false,false,2024-01-29
pd-3754,동탄복합문화센터도서관 1층 어린이자료실내,경기도 화성시 동탄구 노작로 134 (반송동),37.20068401,127.0750229,false,true,11시간,2,2,5,false,false,2024-01-29
pd-3755,거령주유소,경기도 화성시 만세구 남양읍 시청로 270 (무송리),37.19232407,126.8385811,false,true,11시간,1,1,1,false,false,2024-01-29
pd-3756,현대기아자동차연구소 1,경기도 화성시 만세구 남양읍 현대연구소로 150 (장덕리),37.1593937,126.8135279,false,true,11시간,3,5,1,false,false,2024-01-29
pd-3757,동탄복합문화센터도서관 3층 매점방향,경기도 화성시 동탄구 노작로 134 (반송동),37.20068401,127.0750229,false,true,11시간,2,3,3,false,false,2024-01-29
pd-3758,동탄복합문화센터도서관 3층 로비,경기도 화성시 동탄구 노작로 134 (반송동),37.20068401,127.0750229,false,true,11시간,2,3,3,false,false,2024-01-29
pd-3759,동탄복합문화센터도서관 2층 종합자료실 내,경기도 화성시 동탄구 노작로 134 (반송동),37.20068401,127.0750229,true,true,11시간,1,3,3,false,false,2024-01-29
pd-3760,화성시청 별관동,"경기도 화성시 만세구 남양읍 시청로 159 (남양리, 화성시청)",37.19749559,126.8302567,false,true,11시간,4,4,4,false,false,2024-01-29
